4,11,1
4,12,1
4,13,1
4,14,3
4,15,3
4,16,2
4,17,3
4,18,4
4,19,4
4,20,5
4,21,3
4,22,3
4,23,3
4,24,4
4,25,5
4,26,4
4,27,4
4,28,2
4,29,3
4,30,3
4,31,3
4,32,2
4,33,3
4,34,2
4,35,2
4,36,2
4,37,1
4,38,1
4,39,1
4,40,4
4,41,3
4,42,2
4,43,2
4,44,1
4,45,5
4,46,3
4,47,3
4,48,2
4,49,3
4,50,2
4,51,2
4,52,4
4,53,3
4,54,3
4,55,3
4,56,4
4,57,5
4,58,4
4,59,4
4,60,2
4,61,1
4,62,5
4,63,5
4,64,8
4,65,11
4,66,4
4,67,4
4,68,3
4,69,1
4,70,3
4,71,3
4,72,2
4,73,7
4,74,2
4,75,2
4,76,4
4,77,7
4,78,5
4,79,5
4,80,2
4,81,5
4,82,4
4,83,4
4,84,6
4,85,21
4,86,9
4,87,9
4,88,2
4,89,7
4,90,2
4,91,2
4,92,3
4,93,5
4,94,5
4,95,5
4,96,2
4,97,5
4,98,4
4,99,4
4,100,2
4,101,3
4,102,3
4,103,3
4,104,6
4,105,9
4,106,10
4,107,10
4,108,4
4,109,5
4,110,3
4,111,3
4,112,4
4,113,7
4,114,4
4,115,4
4,116,1
4,117,9
4,118,5
4,119,5
4,120,2
4,121,3
4,122,4
4,123,4
4,124,6
4,125,7
4,126,7
4,127,7
4,128,2
4,129,7
4,130,4
4,131,4
4,132,4
4,133,15
4,134,3
4,135,3
4,136,4
4,137,3
4,138,2
4,139,2
4,140,3
4,141,3
4,142,1
4,143,1
4,144,6
4,145,11
4,146,8
4,147,8
4,148,6
4,149,3
4,150,3
4,151,3
4,152,6
4,153,7
4,154,4
4,155,4
4,156,4
4,157,5
4,158,1
4,159,1
4,160,4
4,161,7
4,162,2
4,163,2
4,164,3
4,165,11
4,166,9
4,167,9
4,168,6
4,169,3
4,170,2
4,171,2
4,172,8
4,173,3
4,174,7
4,175,7
4,176,2
4,177,5
4,178,6
4,179,6
4,180,6
4,181,1
4,182,5
4,183,5
4,184,4
4,185,11
4,186,4
4,187,4
4,188,3
4,189,13
4,190,7
4,191,7
4,192,6
4,193,3
4,194,4
4,195,4
4,196,6
4,197,3
4,198,3
4,199,3
4,200,6
